               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11477,            0.023094,            0.022081,            0.023052,            0.069892,            0.010757,           0.0017522,            0.095469,            0.020328,            0.013378,             0.00185,             0.00185,             0.08335
                   1,            0.086029,            0.020907,           0.0094992,             0.32256,             0.33722,             0.23022,            0.051003,            0.080445,             0.01644,           0.0072678,           0.0036917,           0.0036917,            0.066592
                   2,            0.076041,            0.018104,             0.00641,             0.33825,             0.53472,             0.30239,            0.072979,            0.076045,            0.012698,           0.0066974,            0.005461,            0.005461,            0.049761
                   3,            0.075749,            0.015653,           0.0056778,             0.32315,             0.52963,             0.33561,            0.083168,            0.072067,            0.013184,           0.0065347,           0.0071061,           0.0071061,            0.032806
                   4,             0.07068,             0.01558,           0.0056526,             0.41018,              0.5758,             0.39773,            0.099145,            0.068122,            0.011716,           0.0065409,           0.0085803,           0.0085803,             0.01568
                   5,            0.067234,            0.014094,           0.0049335,             0.52745,             0.52761,             0.51406,             0.12796,             0.06664,            0.010974,           0.0059485,           0.0088284,           0.0088284,           0.0088284
                   6,            0.064024,            0.013359,           0.0045011,             0.68637,             0.59437,             0.64164,             0.18317,             0.05839,            0.010664,           0.0057531,           0.0088284,           0.0088284,           0.0088284
                   7,            0.060109,            0.013123,           0.0046781,             0.66064,             0.67619,             0.67383,             0.22009,            0.053226,             0.01042,            0.005414,           0.0083511,           0.0083511,           0.0083511
                   8,             0.05426,            0.012689,            0.003618,             0.78403,             0.62612,             0.66951,             0.22785,            0.051277,            0.010477,           0.0057127,            0.007816,            0.007816,            0.007816
                   9,            0.053035,            0.012239,           0.0031109,             0.76604,             0.62508,             0.68502,             0.22506,            0.052632,           0.0099824,           0.0053753,           0.0072361,           0.0072361,           0.0072361
                  10,            0.050121,            0.012176,           0.0032865,             0.79501,             0.64337,              0.7166,             0.23317,            0.050001,           0.0098152,           0.0052158,           0.0066257,           0.0066257,           0.0066257
                  11,            0.049047,            0.012124,           0.0028909,             0.83372,             0.59386,             0.67708,             0.23182,            0.048472,           0.0094654,           0.0049775,               0.006,               0.006,               0.006
                  12,            0.046811,            0.011749,           0.0024801,             0.85776,              0.6473,             0.72671,             0.22464,             0.04964,           0.0093974,           0.0054288,           0.0053743,           0.0053743,           0.0053743
                  13,            0.046027,            0.011572,           0.0030549,             0.82083,             0.66884,             0.72568,             0.27772,            0.046207,            0.009418,           0.0056725,           0.0047639,           0.0047639,           0.0047639
                  14,            0.045164,            0.011002,           0.0024473,             0.85303,             0.71151,             0.76438,             0.28755,            0.045747,           0.0092378,           0.0054566,            0.004184,            0.004184,            0.004184
                  15,            0.043904,             0.01147,           0.0025865,             0.91016,             0.69538,             0.76233,             0.28031,            0.044214,           0.0090713,           0.0052819,           0.0036489,           0.0036489,           0.0036489
                  16,             0.04224,            0.010684,           0.0041151,             0.83516,             0.66878,             0.71188,             0.25163,            0.046442,           0.0090493,           0.0052926,           0.0031716,           0.0031716,           0.0031716
                  17,            0.041791,             0.01038,           0.0022122,             0.83227,             0.69538,             0.72997,             0.27409,            0.044735,           0.0088824,           0.0052446,           0.0027639,           0.0027639,           0.0027639
                  18,            0.041107,            0.010614,           0.0022531,             0.85578,              0.6953,               0.744,             0.27585,            0.044842,           0.0088205,           0.0053251,            0.002436,            0.002436,            0.002436
                  19,            0.040763,            0.010781,           0.0027445,             0.86516,             0.68993,             0.75674,               0.281,            0.044832,            0.008815,           0.0052023,           0.0021958,           0.0021958,           0.0021958
